"","species","chemical","light","height","log.height"
"210","C.fasciculata","standard","open",20.4,3.06339092202781
"211","S.scheelei","standard","open",9,2.30258509299405
"212","M.maximus","standard","open",34.5,3.56953269648137
"213","X.texanum","none","open",0.4,0.336472236621213
"214","C.fasciculata","none","open",8.1,2.2082744135228
"215","S.scheelei","none","open",8.1,2.2082744135228
"216","M.maximus","none","open",34.3,3.56388296393925
"217","X.texanum","crude","shade",0,0
"218","C.fasciculata","crude","shade",4.4,1.68639895357023
"219","S.scheelei","crude","shade",2.9,1.3609765531356
"220","M.maximus","crude","shade",3,1.38629436111989
"221","X.texanum","standard","shade",1.5,0.916290731874155
"222","C.fasciculata","standard","shade",7.1,2.09186406167839
"223","S.scheelei","standard","shade",10.3,2.42480272571829
"224","M.maximus","standard","shade",6.5,2.01490302054226
"225","X.texanum","none","shade",0.4,0.336472236621213
"226","C.fasciculata","none","shade",13.1,2.64617479738412
"227","S.scheelei","none","shade",7.5,2.14006616349627
"228","M.maximus","none","shade",6.6,2.02814824729229
"229","X.texanum","crude","open",0,0
"230","C.fasciculata","crude","open",13.5,2.67414864942653
"231","S.scheelei","crude","open",7.6,2.15176220325946
"232","M.maximus","crude","open",23.5,3.19867311755068
"233","X.texanum","standard","open",0.3,0.262364264467491
"234","C.fasciculata","standard","open",18.1,2.94968833505258
"235","S.scheelei","standard","open",9.8,2.37954613413017
"236","M.maximus","standard","open",34.5,3.56953269648137
"237","X.texanum","none","open",0.3,0.262364264467491
"238","C.fasciculata","none","open",11.4,2.51769647261099
"239","S.scheelei","none","open",5.1,1.80828877117927
"240","M.maximus","none","open",28.9,3.39785848039664
"241","X.texanum","crude","shade",0,0
"242","C.fasciculata","crude","shade",6,1.94591014905531
"243","S.scheelei","crude","shade",5.1,1.80828877117927
"244","M.maximus","crude","shade",7,2.07944154167984
"246","C.fasciculata","standard","shade",11.6,2.53369681395743
"247","S.scheelei","standard","shade",5.4,1.85629799036563
"248","M.maximus","standard","shade",6,1.94591014905531
"249","X.texanum","none","shade",0.3,0.262364264467491
"250","C.fasciculata","none","shade",8.9,2.29253475714054
"251","S.scheelei","none","shade",2.6,1.28093384546206
"252","M.maximus","none","shade",18.1,2.94968833505258
"253","X.texanum","crude","open",0,0
"254","C.fasciculata","crude","open",14,2.70805020110221
"255","S.scheelei","crude","open",5.6,1.88706964903238
"256","M.maximus","crude","open",24.9,3.25424296870549
"257","X.texanum","standard","open",0.7,0.53062825106217
"258","C.fasciculata","standard","open",16.5,2.86220088092947
"259","S.scheelei","standard","open",5.5,1.87180217690159
"260","M.maximus","standard","open",33.7,3.54673968695281
"261","X.texanum","none","open",0.8,0.587786664902119
"262","C.fasciculata","none","open",9.2,2.32238772029023
"263","S.scheelei","none","open",9.5,2.35137525716348
"264","M.maximus","none","open",32.1,3.49953328238302
"265","X.texanum","crude","shade",0,0
"266","C.fasciculata","crude","shade",3.5,1.50407739677627
"267","S.scheelei","crude","shade",6.1,1.96009478404727
"268","M.maximus","crude","shade",5,1.79175946922805
"270","C.fasciculata","standard","shade",11.5,2.52572864430826
"271","S.scheelei","standard","shade",6.8,2.05412373369555
"272","M.maximus","standard","shade",7.6,2.15176220325946
"273","X.texanum","none","shade",0.5,0.405465108108164
"274","C.fasciculata","none","shade",10.6,2.45100509811232
"275","S.scheelei","none","shade",2.2,1.16315080980568
"276","M.maximus","none","shade",8.5,2.2512917986065
"277","X.texanum","crude","open",0,0
"278","C.fasciculata","crude","open",10.7,2.45958884180371
"279","S.scheelei","crude","open",7.5,2.14006616349627
"280","M.maximus","crude","open",3.9,1.58923520511658
"281","X.texanum","standard","open",0.5,0.405465108108164
"282","C.fasciculata","standard","open",16.7,2.87356463957978
"283","S.scheelei","standard","open",3,1.38629436111989
"284","M.maximus","standard","open",16.2,2.84490938381941
"285","X.texanum","none","open",0.9,0.641853886172395
"286","C.fasciculata","none","open",2.9,1.3609765531356
"287","S.scheelei","none","open",5.6,1.88706964903238
"288","M.maximus","none","open",27.2,3.33932197794407
"289","X.texanum","crude","shade",0,0
"290","C.fasciculata","crude","shade",4.2,1.64865862558738
"291","S.scheelei","crude","shade",6.1,1.96009478404727
"292","M.maximus","crude","shade",5.1,1.80828877117927
"294","C.fasciculata","standard","shade",12.3,2.58776403522771
"295","S.scheelei","standard","shade",7.9,2.18605127673809
"296","M.maximus","standard","shade",5.4,1.85629799036563
"297","X.texanum","none","shade",0.4,0.336472236621213
"298","C.fasciculata","none","shade",10.6,2.45100509811232
"299","S.scheelei","none","shade",4,1.6094379124341
"300","M.maximus","none","shade",8.1,2.2082744135228
"301","X.texanum","crude","open",0,0
"302","C.fasciculata","crude","open",15.6,2.8094026953625
"303","S.scheelei","crude","open",4.5,1.70474809223843
"304","M.maximus","crude","open",39.1,3.69137633431252
"305","X.texanum","standard","open",1.1,0.741937344729377
"306","C.fasciculata","standard","open",18.6,2.97552956623647
"307","S.scheelei","standard","open",9.9,2.3887627892351
"308","M.maximus","standard","open",25,3.25809653802148
"309","X.texanum","none","open",0.5,0.405465108108164
"310","C.fasciculata","none","open",6.8,2.05412373369555
"311","S.scheelei","none","open",2.4,1.22377543162212
"312","M.maximus","none","open",35.5,3.59731226058845
"313","X.texanum","crude","shade",0,0
"315","S.scheelei","crude","shade",5,1.79175946922805
"316","M.maximus","crude","shade",7.5,2.14006616349627
"318","C.fasciculata","standard","shade",8.6,2.26176309847379
"319","S.scheelei","standard","shade",8.4,2.24070968927596
"320","M.maximus","standard","shade",5.6,1.88706964903238
"321","X.texanum","none","shade",0.4,0.336472236621213
"322","C.fasciculata","none","shade",10.6,2.45100509811232
"323","S.scheelei","none","shade",5,1.79175946922805
