entry ,species,chemical,light,week,result
178,C.fasciculata,standard,shade,1,1
179,S.scheelei,standard,shade,1,0
180,M.maximus,standard,shade,1,1
181,X.texanum,none,open,1,0
182,C.fasciculata,none,open,1,1
183,S.scheelei,none,open,1,1
184,M.maximus,none,open,1,1
185,X.texanum,crude,open,1,0
186,C.fasciculata,crude,open,1,1
187,S.scheelei,crude,open,1,1
188,M.maximus,crude,open,1,0
189,X.texanum,standard,open,1,0
190,C.fasciculata,standard,open,1,1
191,S.scheelei,standard,open,1,1
192,M.maximus,standard,open,1,1
193,X.texanum,crude,shade,2,0
194,C.fasciculata,crude,shade,2,1
195,S.scheelei,crude,shade,2,1
196,M.maximus,crude,shade,2,1
197,X.texanum,standard,shade,2,1
198,C.fasciculata,standard,shade,2,1
199,S.scheelei,standard,shade,2,1
200,M.maximus,standard,shade,2,1
201,X.texanum,none,shade,2,1
202,C.fasciculata,none,shade,2,1
203,S.scheelei,none,shade,2,1
204,M.maximus,none,shade,2,1
205,X.texanum,crude,open,2,0
206,C.fasciculata,crude,open,2,1
207,S.scheelei,crude,open,2,1
208,M.maximus,crude,open,2,0
209,X.texanum,standard,open,2,1
210,C.fasciculata,standard,open,2,1
211,S.scheelei,standard,open,2,1
212,M.maximus,standard,open,2,1
213,X.texanum,none,open,2,1
214,C.fasciculata,none,open,2,1
215,S.scheelei,none,open,2,1
216,M.maximus,none,open,2,1
217,X.texanum,crude,shade,3,1
218,C.fasciculata,crude,shade,3,1
219,S.scheelei,crude,shade,3,1
220,M.maximus,crude,shade,3,1
221,X.texanum,standard,shade,3,1
222,C.fasciculata,standard,shade,3,1
223,S.scheelei,standard,shade,3,1
224,M.maximus,standard,shade,3,1
225,X.texanum,none,shade,3,1
226,C.fasciculata,none,shade,3,1
227,S.scheelei,none,shade,3,1
228,M.maximus,none,shade,3,1
229,X.texanum,crude,open,3,0
230,C.fasciculata,crude,open,3,1
231,S.scheelei,crude,open,3,1
232,M.maximus,crude,open,3,1
233,X.texanum,standard,open,3,1
234,C.fasciculata,standard,open,3,1
235,S.scheelei,standard,open,3,1
236,M.maximus,standard,open,3,1
237,X.texanum,none,open,3,1
238,C.fasciculata,none,open,3,1
239,S.scheelei,none,open,3,1
240,M.maximus,none,open,3,1
241,X.texanum,crude,shade,4,0
242,C.fasciculata,crude,shade,4,1
243,S.scheelei,crude,shade,4,1
244,M.maximus,crude,shade,4,1
245,X.texanum,standard,shade,4,1
246,C.fasciculata,standard,shade,4,1
247,S.scheelei,standard,shade,4,1
248,M.maximus,standard,shade,4,1
249,X.texanum,none,shade,4,1
250,C.fasciculata,none,shade,4,1
251,S.scheelei,none,shade,4,1
252,M.maximus,none,shade,4,1
253,X.texanum,crude,open,4,0
254,C.fasciculata,crude,open,4,1
255,S.scheelei,crude,open,4,1
256,M.maximus,crude,open,4,1
257,X.texanum,standard,open,4,1
258,C.fasciculata,standard,open,4,1
259,S.scheelei,standard,open,4,1
260,M.maximus,standard,open,4,1
261,X.texanum,none,open,4,1
262,C.fasciculata,none,open,4,1
263,S.scheelei,none,open,4,1
264,M.maximus,none,open,4,1
265,X.texanum,crude,shade,5,0
266,C.fasciculata,crude,shade,5,1
267,S.scheelei,crude,shade,5,1
268,M.maximus,crude,shade,5,1
269,X.texanum,standard,shade,5,1
270,C.fasciculata,standard,shade,5,1
271,S.scheelei,standard,shade,5,1
272,M.maximus,standard,shade,5,1
273,X.texanum,none,shade,5,1
274,C.fasciculata,none,shade,5,1
275,S.scheelei,none,shade,5,1
276,M.maximus,none,shade,5,1
277,X.texanum,crude,open,5,0
278,C.fasciculata,crude,open,5,1
279,S.scheelei,crude,open,5,1
280,M.maximus,crude,open,5,1
281,X.texanum,standard,open,5,1
282,C.fasciculata,standard,open,5,1
283,S.scheelei,standard,open,5,1
284,M.maximus,standard,open,5,1
285,X.texanum,none,open,5,1
286,C.fasciculata,none,open,5,1
287,S.scheelei,none,open,5,1
288,M.maximus,none,open,5,1
289,X.texanum,none,shade,0,0
290,C.fasciculata,none,shade,0,0
291,S.scheelei,none,shade,0,0
292,M.maximus,none,shade,0,0
293,X.texanum,crude,shade,0,0
294,C.fasciculata,crude,shade,0,0
295,S.scheelei,crude,shade,0,0
296,M.maximus,crude,shade,0,0
297,X.texanum,standard,shade,0,0
298,C.fasciculata,standard,shade,0,0
299,S.scheelei,standard,shade,0,0
300,M.maximus,standard,shade,0,0
301,X.texanum,none,open,0,0
302,C.fasciculata,none,open,0,0
303,S.scheelei,none,open,0,0
304,M.maximus,none,open,0,0
305,X.texanum,crude,open,0,0
306,C.fasciculata,crude,open,0,0
307,S.scheelei,crude,open,0,0
308,M.maximus,crude,open,0,0
309,X.texanum,standard,open,0,0
310,C.fasciculata,standard,open,0,0
311,S.scheelei,standard,open,0,0
312,M.maximus,standard,open,0,0
313,X.texanum,none,shade,1,0
314,C.fasciculata,none,shade,1,1
315,S.scheelei,none,shade,1,0
316,M.maximus,none,shade,1,1
317,X.texanum,crude,shade,1,0
318,C.fasciculata,crude,shade,1,1
319,S.scheelei,crude,shade,1,0
320,M.maximus,crude,shade,1,1
321,X.texanum,standard,shade,1,0
322,C.fasciculata,standard,shade,1,1
323,S.scheelei,standard,shade,1,0
324,M.maximus,standard,shade,1,0
325,X.texanum,none,open,1,0
326,C.fasciculata,none,open,1,1
327,S.scheelei,none,open,1,0
328,M.maximus,none,open,1,1
329,X.texanum,crude,open,1,0
330,C.fasciculata,crude,open,1,1
331,S.scheelei,crude,open,1,1
332,M.maximus,crude,open,1,0
333,X.texanum,standard,open,1,0
334,C.fasciculata,standard,open,1,1
335,S.scheelei,standard,open,1,1
336,M.maximus,standard,open,1,1
337,X.texanum,crude,shade,2,0
338,C.fasciculata,crude,shade,2,1
339,S.scheelei,crude,shade,2,1
340,M.maximus,crude,shade,2,1
341,X.texanum,standard,shade,2,1
342,C.fasciculata,standard,shade,2,1
343,S.scheelei,standard,shade,2,1
344,M.maximus,standard,shade,2,1
345,X.texanum,none,shade,2,1
346,C.fasciculata,none,shade,2,1
347,S.scheelei,none,shade,2,1
348,M.maximus,none,shade,2,1
349,X.texanum,crude,open,2,0
350,C.fasciculata,crude,open,2,1
351,S.scheelei,crude,open,2,1
352,M.maximus,crude,open,2,0
353,X.texanum,standard,open,2,1
354,C.fasciculata,standard,open,2,1
355,S.scheelei,standard,open,2,1
356,M.maximus,standard,open,2,1
357,X.texanum,none,open,2,1
358,C.fasciculata,none,open,2,1
359,S.scheelei,none,open,2,1
360,M.maximus,none,open,2,1
361,X.texanum,crude,shade,3,0
362,C.fasciculata,crude,shade,3,1
363,S.scheelei,crude,shade,3,1
364,M.maximus,crude,shade,3,1
