entry ,species,chemical,light,tissue,mass,log.mass
2428,S.scheelei,standard,shade,root.shoot,0.285714286,0.251314429
2429,M.maximus,standard,shade,below,0.7,0.530628251
2430,M.maximus,standard,shade,above,1.2,0.78845736
2431,M.maximus,standard,shade,total,1.9,1.064710737
2432,M.maximus,standard,shade,root.shoot,0.583333333,0.459532329
2433,X.texanum,none,shade,below,NA,NA
2434,X.texanum,none,shade,above,NA,NA
2435,X.texanum,none,shade,total,NA,NA
2436,X.texanum,none,shade,root.shoot,NA,NA
2437,C.fasciculata,none,shade,below,1.8,1.029619417
2438,C.fasciculata,none,shade,above,4.5,1.704748092
2439,C.fasciculata,none,shade,total,6.3,1.987874348
2440,C.fasciculata,none,shade,root.shoot,0.4,0.336472237
2441,S.scheelei,none,shade,below,1.4,0.875468737
2442,S.scheelei,none,shade,above,1.9,1.064710737
2443,S.scheelei,none,shade,total,3.3,1.458615023
2444,S.scheelei,none,shade,root.shoot,0.736842105,0.552068582
2445,M.maximus,none,shade,below,2.5,1.252762968
2446,M.maximus,none,shade,above,1.3,0.832909123
2447,M.maximus,none,shade,total,3.8,1.568615918
2448,M.maximus,none,shade,root.shoot,1.923076923,1.072636802
2449,X.texanum,crude,open,below,NA,NA
2450,X.texanum,crude,open,above,NA,NA
2451,X.texanum,crude,open,total,NA,NA
2452,X.texanum,crude,open,root.shoot,NA,NA
2453,C.fasciculata,crude,open,below,4,1.609437912
2454,C.fasciculata,crude,open,above,16,2.833213344
2455,C.fasciculata,crude,open,total,20,3.044522438
2456,C.fasciculata,crude,open,root.shoot,0.25,0.223143551
2457,S.scheelei,crude,open,below,1,0.693147181
2458,S.scheelei,crude,open,above,8,2.197224577
2459,S.scheelei,crude,open,total,9,2.302585093
2460,S.scheelei,crude,open,root.shoot,0.125,0.117783036
2461,M.maximus,crude,open,below,55,4.025351691
2462,M.maximus,crude,open,above,48,3.891820298
2463,M.maximus,crude,open,total,103,4.644390899
2464,M.maximus,crude,open,root.shoot,1.145833333,0.763527977
2465,X.texanum,standard,open,below,NA,NA
2466,X.texanum,standard,open,above,NA,NA
2467,X.texanum,standard,open,total,NA,NA
2468,X.texanum,standard,open,root.shoot,NA,NA
2469,C.fasciculata,standard,open,below,65,4.189654742
2470,C.fasciculata,standard,open,above,39,3.688879454
2471,C.fasciculata,standard,open,total,104,4.65396035
2472,C.fasciculata,standard,open,root.shoot,1.666666667,0.980829253
2473,S.scheelei,standard,open,below,25,3.258096538
2474,S.scheelei,standard,open,above,32,3.496507561
2475,S.scheelei,standard,open,total,57,4.060443011
2476,S.scheelei,standard,open,root.shoot,0.78125,0.577315365
2477,M.maximus,standard,open,below,98,4.59511985
2478,M.maximus,standard,open,above,186,5.231108617
2479,M.maximus,standard,open,total,284,5.65248918
2480,M.maximus,standard,open,root.shoot,0.52688172,0.423227564
2481,X.texanum,none,open,below,NA,NA
2482,X.texanum,none,open,above,NA,NA
2483,X.texanum,none,open,total,NA,NA
2484,X.texanum,none,open,root.shoot,NA,NA
2485,C.fasciculata,none,open,below,7,2.079441542
2486,C.fasciculata,none,open,above,22,3.135494216
2487,C.fasciculata,none,open,total,29,3.401197382
2488,C.fasciculata,none,open,root.shoot,0.318181818,0.276253376
2489,S.scheelei,none,open,below,4,1.609437912
2490,S.scheelei,none,open,above,10,2.397895273
2491,S.scheelei,none,open,total,14,2.708050201
2492,S.scheelei,none,open,root.shoot,0.4,0.336472237
2493,M.maximus,none,open,below,58,4.077537444
2494,M.maximus,none,open,above,186,5.231108617
2495,M.maximus,none,open,total,244,5.501258211
2496,M.maximus,none,open,root.shoot,0.311827957,0.271421552
2497,X.texanum,crude,shade,below,NA,NA
2498,X.texanum,crude,shade,above,NA,NA
2499,X.texanum,crude,shade,total,NA,NA
2500,X.texanum,crude,shade,root.shoot,NA,NA
2501,C.fasciculata,crude,shade,below,NA,NA
2502,C.fasciculata,crude,shade,above,NA,NA
2503,C.fasciculata,crude,shade,total,NA,NA
2504,C.fasciculata,crude,shade,root.shoot,NA,NA
2505,S.scheelei,crude,shade,below,0.6,0.470003629
2506,S.scheelei,crude,shade,above,0.7,0.530628251
2507,S.scheelei,crude,shade,total,1.3,0.832909123
2508,S.scheelei,crude,shade,root.shoot,0.857142857,0.619039208
2509,M.maximus,crude,shade,below,NA,NA
2510,M.maximus,crude,shade,above,NA,NA
2511,M.maximus,crude,shade,total,NA,NA
2512,M.maximus,crude,shade,root.shoot,NA,NA
2513,X.texanum,standard,shade,below,NA,NA
2514,X.texanum,standard,shade,above,NA,NA
2515,X.texanum,standard,shade,total,NA,NA
2516,X.texanum,standard,shade,root.shoot,NA,NA
2517,C.fasciculata,standard,shade,below,NA,NA
2518,C.fasciculata,standard,shade,above,NA,NA
2519,C.fasciculata,standard,shade,total,NA,NA
2520,C.fasciculata,standard,shade,root.shoot,NA,NA
2521,S.scheelei,standard,shade,below,1.7,0.993251773
2522,S.scheelei,standard,shade,above,1.6,0.955511445
2523,S.scheelei,standard,shade,total,3.3,1.458615023
2524,S.scheelei,standard,shade,root.shoot,1.0625,0.723918839
2525,M.maximus,standard,shade,below,NA,NA
2526,M.maximus,standard,shade,above,NA,NA
2527,M.maximus,standard,shade,total,NA,NA
2528,M.maximus,standard,shade,root.shoot,NA,NA
2529,X.texanum,none,shade,below,NA,NA
2530,X.texanum,none,shade,above,NA,NA
2531,X.texanum,none,shade,total,NA,NA
2532,X.texanum,none,shade,root.shoot,NA,NA
2533,C.fasciculata,none,shade,below,1.6,0.955511445
2534,C.fasciculata,none,shade,above,4.5,1.704748092
2535,C.fasciculata,none,shade,total,6.1,1.960094784
2536,C.fasciculata,none,shade,root.shoot,0.355555556,0.304211375
2537,S.scheelei,none,shade,below,0.7,0.530628251
2538,S.scheelei,none,shade,above,0.9,0.641853886
2539,S.scheelei,none,shade,total,1.6,0.955511445
2540,S.scheelei,none,shade,root.shoot,0.777777778,0.575364145
2541,M.maximus,none,shade,below,1,0.693147181
2542,M.maximus,none,shade,above,1.5,0.916290732
2543,M.maximus,none,shade,total,2.5,1.252762968
2544,M.maximus,none,shade,root.shoot,0.666666667,0.510825624
2545,X.texanum,crude,open,below,NA,NA
2546,X.texanum,crude,open,above,NA,NA
2547,X.texanum,crude,open,total,NA,NA
2548,X.texanum,crude,open,root.shoot,NA,NA
2549,C.fasciculata,crude,open,below,61,4.127134385
2550,C.fasciculata,crude,open,above,55,4.025351691
2551,C.fasciculata,crude,open,total,116,4.762173935
2552,C.fasciculata,crude,open,root.shoot,1.109090909,0.746257006
2553,S.scheelei,crude,open,below,0.5,0.405465108
2554,S.scheelei,crude,open,above,3,1.386294361
2555,S.scheelei,crude,open,total,3.5,1.504077397
2556,S.scheelei,crude,open,root.shoot,0.166666667,0.15415068
2557,M.maximus,crude,open,below,80,4.394449155
2558,M.maximus,crude,open,above,63,4.158883083
2559,M.maximus,crude,open,total,143,4.9698133
2560,M.maximus,crude,open,root.shoot,1.26984127,0.819709904
2561,X.texanum,standard,open,below,NA,NA
2562,X.texanum,standard,open,above,NA,NA
2563,X.texanum,standard,open,total,NA,NA
2564,X.texanum,standard,open,root.shoot,NA,NA
2565,C.fasciculata,standard,open,below,34,3.555348061
2566,C.fasciculata,standard,open,above,77,4.356708827
2567,C.fasciculata,standard,open,total,111,4.718498871
2568,C.fasciculata,standard,open,root.shoot,0.441558442,0.36572478
2569,S.scheelei,standard,open,below,43,3.784189634
2570,S.scheelei,standard,open,above,16,2.833213344
2571,S.scheelei,standard,open,total,59,4.094344562
2572,S.scheelei,standard,open,root.shoot,2.6875,1.304948722
2573,M.maximus,standard,open,below,42,3.761200116
2574,M.maximus,standard,open,above,53,3.988984047
2575,M.maximus,standard,open,total,95,4.564348191
2576,M.maximus,standard,open,root.shoot,0.79245283,0.583584978
2577,X.texanum,none,open,below,NA,NA
2578,X.texanum,none,open,above,NA,NA
2579,X.texanum,none,open,total,NA,NA
2580,X.texanum,none,open,root.shoot,NA,NA
2581,C.fasciculata,none,open,below,80,4.394449155
2582,C.fasciculata,none,open,above,62,4.143134726
2583,C.fasciculata,none,open,total,142,4.96284463
2584,C.fasciculata,none,open,root.shoot,1.290322581,0.828692673
2585,S.scheelei,none,open,below,36,3.610917913
2586,S.scheelei,none,open,above,47,3.871201011
2587,S.scheelei,none,open,total,83,4.430816799
2588,S.scheelei,none,open,root.shoot,0.765957447,0.568693006
2589,M.maximus,none,open,below,25,3.258096538
2590,M.maximus,none,open,above,66,4.204692619
2591,M.maximus,none,open,total,91,4.521788577
2592,M.maximus,none,open,root.shoot,0.378787879,0.321204765
2593,X.texanum,crude,shade,below,NA,NA
2594,X.texanum,crude,shade,above,NA,NA
2595,X.texanum,crude,shade,total,NA,NA
2596,X.texanum,crude,shade,root.shoot,NA,NA
2597,C.fasciculata,crude,shade,below,NA,NA
2598,C.fasciculata,crude,shade,above,NA,NA
2599,C.fasciculata,crude,shade,total,NA,NA
2600,C.fasciculata,crude,shade,root.shoot,NA,NA
2601,S.scheelei,crude,shade,below,1.3,0.832909123
2602,S.scheelei,crude,shade,above,0.4,0.336472237
2603,S.scheelei,crude,shade,total,1.7,0.993251773
2604,S.scheelei,crude,shade,root.shoot,3.25,1.446918983
2605,M.maximus,crude,shade,below,NA,NA
2606,M.maximus,crude,shade,above,NA,NA
2607,M.maximus,crude,shade,total,NA,NA
2608,M.maximus,crude,shade,root.shoot,NA,NA
2609,X.texanum,standard,shade,below,NA,NA
2610,X.texanum,standard,shade,above,NA,NA
2611,X.texanum,standard,shade,total,NA,NA
2612,X.texanum,standard,shade,root.shoot,NA,NA
2613,C.fasciculata,standard,shade,below,NA,NA
2614,C.fasciculata,standard,shade,above,NA,NA
2615,C.fasciculata,standard,shade,total,NA,NA
2616,C.fasciculata,standard,shade,root.shoot,NA,NA
2617,S.scheelei,standard,shade,below,0.7,0.530628251
2618,S.scheelei,standard,shade,above,1.3,0.832909123
2619,S.scheelei,standard,shade,total,2,1.098612289
2620,S.scheelei,standard,shade,root.shoot,0.538461539,0.430782916
2621,M.maximus,standard,shade,below,NA,NA
2622,M.maximus,standard,shade,above,NA,NA
2623,M.maximus,standard,shade,total,NA,NA
2624,M.maximus,standard,shade,root.shoot,NA,NA
2625,X.texanum,none,shade,below,NA,NA
2626,X.texanum,none,shade,above,NA,NA
2627,X.texanum,none,shade,total,NA,NA
2628,X.texanum,none,shade,root.shoot,NA,NA
2629,C.fasciculata,none,shade,below,1.4,0.875468737
2630,C.fasciculata,none,shade,above,5.4,1.85629799
2631,C.fasciculata,none,shade,total,6.8,2.054123734
2632,C.fasciculata,none,shade,root.shoot,0.259259259,0.230523658
2633,S.scheelei,none,shade,below,1,0.693147181
2634,S.scheelei,none,shade,above,1.1,0.741937345
2635,S.scheelei,none,shade,total,2.1,1.131402111
2636,S.scheelei,none,shade,root.shoot,0.909090909,0.646627165
2637,M.maximus,none,shade,below,0.7,0.530628251
2638,M.maximus,none,shade,above,2.1,1.131402111
2639,M.maximus,none,shade,total,2.8,1.335001067
2640,M.maximus,none,shade,root.shoot,0.333333333,0.287682072
2641,X.texanum,crude,open,below,NA,NA
2642,X.texanum,crude,open,above,NA,NA
2643,X.texanum,crude,open,total,NA,NA
2644,X.texanum,crude,open,root.shoot,NA,NA
2645,C.fasciculata,crude,open,below,24,3.218875825
2646,C.fasciculata,crude,open,above,57,4.060443011
2647,C.fasciculata,crude,open,total,81,4.406719247
2648,C.fasciculata,crude,open,root.shoot,0.421052632,0.351397887
2649,S.scheelei,crude,open,below,3,1.386294361
2650,S.scheelei,crude,open,above,4,1.609437912
2651,S.scheelei,crude,open,total,7,2.079441542
2652,S.scheelei,crude,open,root.shoot,0.75,0.559615788
2653,M.maximus,crude,open,below,41,3.737669618
2654,M.maximus,crude,open,above,66,4.204692619
2655,M.maximus,crude,open,total,107,4.682131227
2656,M.maximus,crude,open,root.shoot,0.621212121,0.483174092
2657,X.texanum,standard,open,below,NA,NA
2658,X.texanum,standard,open,above,NA,NA
2659,X.texanum,standard,open,total,NA,NA
2660,X.texanum,standard,open,root.shoot,NA,NA
2661,C.fasciculata,standard,open,below,31,3.465735903
2662,C.fasciculata,standard,open,above,130,4.875197323
2663,C.fasciculata,standard,open,total,161,5.087596335
2664,C.fasciculata,standard,open,root.shoot,0.238461539,0.213869915
2665,S.scheelei,standard,open,below,13,2.63905733
2666,S.scheelei,standard,open,above,17,2.890371758
2667,S.scheelei,standard,open,total,30,3.433987204
2668,S.scheelei,standard,open,root.shoot,0.764705882,0.567984037
2669,M.maximus,standard,open,below,123,4.820281566
2670,M.maximus,standard,open,above,131,4.882801923
2671,M.maximus,standard,open,total,254,5.541263545
2672,M.maximus,standard,open,root.shoot,0.938931298,0.662136944
2673,X.texanum,none,open,below,NA,NA
2674,X.texanum,none,open,above,NA,NA
2675,X.texanum,none,open,total,NA,NA
2676,X.texanum,none,open,root.shoot,NA,NA
2677,C.fasciculata,none,open,below,15,2.772588722
2678,C.fasciculata,none,open,above,37,3.63758616
2679,C.fasciculata,none,open,total,52,3.970291914
2680,C.fasciculata,none,open,root.shoot,0.405405405,0.340325806
2681,S.scheelei,none,open,below,2,1.098612289
2682,S.scheelei,none,open,above,5,1.791759469
2683,S.scheelei,none,open,total,7,2.079441542
2684,S.scheelei,none,open,root.shoot,0.4,0.336472237
2685,M.maximus,none,open,below,48,3.891820298
2686,M.maximus,none,open,above,126,4.844187086
2687,M.maximus,none,open,total,174,5.164785974
2688,M.maximus,none,open,root.shoot,0.380952381,0.322773392
2689,X.texanum,crude,shade,below,NA,NA
2690,X.texanum,crude,shade,above,NA,NA
2691,X.texanum,crude,shade,total,NA,NA
2692,X.texanum,crude,shade,root.shoot,NA,NA
2693,C.fasciculata,crude,shade,below,NA,NA
2694,C.fasciculata,crude,shade,above,NA,NA
2695,C.fasciculata,crude,shade,total,NA,NA
2696,C.fasciculata,crude,shade,root.shoot,NA,NA
2697,S.scheelei,crude,shade,below,0.8,0.587786665
2698,S.scheelei,crude,shade,above,0.4,0.336472237
2699,S.scheelei,crude,shade,total,1.2,0.78845736
2700,S.scheelei,crude,shade,root.shoot,2,1.098612289
2701,M.maximus,crude,shade,below,NA,NA
2702,M.maximus,crude,shade,above,NA,NA
2703,M.maximus,crude,shade,total,NA,NA
2704,M.maximus,crude,shade,root.shoot,NA,NA
2705,X.texanum,standard,shade,below,NA,NA
2706,X.texanum,standard,shade,above,NA,NA
2707,X.texanum,standard,shade,total,NA,NA
2708,X.texanum,standard,shade,root.shoot,NA,NA
2709,C.fasciculata,standard,shade,below,NA,NA
2710,C.fasciculata,standard,shade,above,NA,NA
2711,C.fasciculata,standard,shade,total,NA,NA
2712,C.fasciculata,standard,shade,root.shoot,NA,NA
2713,S.scheelei,standard,shade,below,1.3,0.832909123
2714,S.scheelei,standard,shade,above,1.8,1.029619417
2715,S.scheelei,standard,shade,total,3.1,1.410986974
2716,S.scheelei,standard,shade,root.shoot,0.722222222,0.543615446
2717,M.maximus,standard,shade,below,NA,NA
2718,M.maximus,standard,shade,above,NA,NA
2719,M.maximus,standard,shade,total,NA,NA
2720,M.maximus,standard,shade,root.shoot,NA,NA
2721,X.texanum,none,shade,below,NA,NA
2722,X.texanum,none,shade,above,NA,NA
2723,X.texanum,none,shade,total,NA,NA
2724,X.texanum,none,shade,root.shoot,NA,NA
2725,C.fasciculata,none,shade,below,3.2,1.435084525
2726,C.fasciculata,none,shade,above,6.9,2.066862759
2727,C.fasciculata,none,shade,total,10.1,2.406945108
2728,C.fasciculata,none,shade,root.shoot,0.463768116,0.381014012
2729,S.scheelei,none,shade,below,0.2,0.182321557
2730,S.scheelei,none,shade,above,1.3,0.832909123
2731,S.scheelei,none,shade,total,1.5,0.916290732
2732,S.scheelei,none,shade,root.shoot,0.153846154,0.143100844
2733,M.maximus,none,shade,below,0.2,0.182321557
2734,M.maximus,none,shade,above,1.6,0.955511445
2735,M.maximus,none,shade,total,1.8,1.029619417
2736,M.maximus,none,shade,root.shoot,0.125,0.117783036
2737,X.texanum,crude,open,below,NA,NA
2738,X.texanum,crude,open,above,NA,NA
2739,X.texanum,crude,open,total,NA,NA
2740,X.texanum,crude,open,root.shoot,NA,NA
2741,C.fasciculata,crude,open,below,16,2.833213344
2742,C.fasciculata,crude,open,above,57,4.060443011
2743,C.fasciculata,crude,open,total,73,4.304065093
2744,C.fasciculata,crude,open,root.shoot,0.280701754,0.247408173
2745,S.scheelei,crude,open,below,1,0.693147181
2746,S.scheelei,crude,open,above,3,1.386294361
2747,S.scheelei,crude,open,total,4,1.609437912
2748,S.scheelei,crude,open,root.shoot,0.333333333,0.287682072
2749,M.maximus,crude,open,below,71,4.276666119
2750,M.maximus,crude,open,above,78,4.369447852
2751,M.maximus,crude,open,total,149,5.010635294
2752,M.maximus,crude,open,root.shoot,0.91025641,0.647237479
2753,X.texanum,standard,open,below,NA,NA
2754,X.texanum,standard,open,above,NA,NA
2755,X.texanum,standard,open,total,NA,NA
2756,X.texanum,standard,open,root.shoot,NA,NA
2757,C.fasciculata,standard,open,below,64,4.17438727
2758,C.fasciculata,standard,open,above,139,4.941642423
2759,C.fasciculata,standard,open,total,203,5.318119994
2760,C.fasciculata,standard,open,root.shoot,0.460431655,0.378732046
2761,S.scheelei,standard,open,below,20,3.044522438
2762,S.scheelei,standard,open,above,16,2.833213344
2763,S.scheelei,standard,open,total,36,3.610917913
2764,S.scheelei,standard,open,root.shoot,1.25,0.810930216
2765,M.maximus,standard,open,below,148,5.003946306
2766,M.maximus,standard,open,above,188,5.241747015
2767,M.maximus,standard,open,total,336,5.82008293
2768,M.maximus,standard,open,root.shoot,0.787234043,0.580669197
2769,X.texanum,none,open,below,NA,NA
2770,X.texanum,none,open,above,NA,NA
2771,X.texanum,none,open,total,NA,NA
2772,X.texanum,none,open,root.shoot,NA,NA
2773,C.fasciculata,none,open,below,3,1.386294361
2774,C.fasciculata,none,open,above,11,2.48490665
2775,C.fasciculata,none,open,total,14,2.708050201
2776,C.fasciculata,none,open,root.shoot,0.272727273,0.241162057
2777,S.scheelei,none,open,below,13,2.63905733
2778,S.scheelei,none,open,above,16,2.833213344
2779,S.scheelei,none,open,total,29,3.401197382
2780,S.scheelei,none,open,root.shoot,0.8125,0.594707108
2781,M.maximus,none,open,below,77,4.356708827
2782,M.maximus,none,open,above,231,5.446737372
2783,M.maximus,none,open,total,308,5.733341277
2784,M.maximus,none,open,root.shoot,0.333333333,0.287682072
2785,X.texanum,crude,shade,below,NA,NA
2786,X.texanum,crude,shade,above,NA,NA
2787,X.texanum,crude,shade,total,NA,NA
2788,X.texanum,crude,shade,root.shoot,NA,NA
2789,C.fasciculata,crude,shade,below,NA,NA
2790,C.fasciculata,crude,shade,above,NA,NA
2791,C.fasciculata,crude,shade,total,NA,NA
2792,C.fasciculata,crude,shade,root.shoot,NA,NA
2793,S.scheelei,crude,shade,below,0.9,0.641853886
2794,S.scheelei,crude,shade,above,1,0.693147181
2795,S.scheelei,crude,shade,total,1.9,1.064710737
2796,S.scheelei,crude,shade,root.shoot,0.9,0.641853886
2797,M.maximus,crude,shade,below,NA,NA
2798,M.maximus,crude,shade,above,NA,NA
2799,M.maximus,crude,shade,total,NA,NA
2800,M.maximus,crude,shade,root.shoot,NA,NA
2801,X.texanum,standard,shade,below,NA,NA
2802,X.texanum,standard,shade,above,NA,NA
2803,X.texanum,standard,shade,total,NA,NA
2804,X.texanum,standard,shade,root.shoot,NA,NA
2805,C.fasciculata,standard,shade,below,NA,NA
2806,C.fasciculata,standard,shade,above,NA,NA
2807,C.fasciculata,standard,shade,total,NA,NA
2808,C.fasciculata,standard,shade,root.shoot,NA,NA
2809,S.scheelei,standard,shade,below,1.7,0.993251773
2810,S.scheelei,standard,shade,above,2.8,1.335001067
2811,S.scheelei,standard,shade,total,4.5,1.704748092
2812,S.scheelei,standard,shade,root.shoot,0.607142857,0.47445798
2813,M.maximus,standard,shade,below,NA,NA
2814,M.maximus,standard,shade,above,NA,NA
2815,M.maximus,standard,shade,total,NA,NA
2816,M.maximus,standard,shade,root.shoot,NA,NA
2817,X.texanum,none,shade,below,NA,NA
2818,X.texanum,none,shade,above,NA,NA
2819,X.texanum,none,shade,total,NA,NA
2820,X.texanum,none,shade,root.shoot,NA,NA
2821,C.fasciculata,none,shade,below,1.7,0.993251773
2822,C.fasciculata,none,shade,above,5.6,1.887069649
2823,C.fasciculata,none,shade,total,7.3,2.116255515
2824,C.fasciculata,none,shade,root.shoot,0.303571429,0.265107751
2825,S.scheelei,none,shade,below,0.2,0.182321557
2826,S.scheelei,none,shade,above,1.1,0.741937345
2827,S.scheelei,none,shade,total,1.3,0.832909123
2828,S.scheelei,none,shade,root.shoot,0.181818182,0.167054085
2829,M.maximus,none,shade,below,1.1,0.741937345
2830,M.maximus,none,shade,above,3.1,1.410986974
2831,M.maximus,none,shade,total,4.2,1.648658626
2832,M.maximus,none,shade,root.shoot,0.35483871,0.303682414
2833,X.texanum,crude,open,below,NA,NA
2834,X.texanum,crude,open,above,NA,NA
2835,X.texanum,crude,open,total,NA,NA
2836,X.texanum,crude,open,root.shoot,NA,NA
2837,C.fasciculata,crude,open,below,9,2.302585093
2838,C.fasciculata,crude,open,above,12,2.564949357
2839,C.fasciculata,crude,open,total,21,3.091042453
2840,C.fasciculata,crude,open,root.shoot,0.75,0.559615788
2841,S.scheelei,crude,open,below,17,2.890371758
2842,S.scheelei,crude,open,above,18,2.944438979
2843,S.scheelei,crude,open,total,35,3.583518938
2844,S.scheelei,crude,open,root.shoot,0.944444444,0.664976303
2845,M.maximus,crude,open,below,25,3.258096538
2846,M.maximus,crude,open,above,35,3.583518938
2847,M.maximus,crude,open,total,60,4.110873864
2848,M.maximus,crude,open,root.shoot,0.714285714,0.538996501
2849,X.texanum,standard,open,below,NA,NA
2850,X.texanum,standard,open,above,NA,NA
2851,X.texanum,standard,open,total,NA,NA
2852,X.texanum,standard,open,root.shoot,NA,NA
2853,C.fasciculata,standard,open,below,132,4.890349128
2854,C.fasciculata,standard,open,above,76,4.343805422
2855,C.fasciculata,standard,open,total,208,5.342334252
2856,C.fasciculata,standard,open,root.shoot,1.736842105,1.006804739
2857,S.scheelei,standard,open,below,10,2.397895273
2858,S.scheelei,standard,open,above,21,3.091042453
2859,S.scheelei,standard,open,total,31,3.465735903
2860,S.scheelei,standard,open,root.shoot,0.476190476,0.389464767
2861,M.maximus,standard,open,below,76,4.343805422
2862,M.maximus,standard,open,above,47,3.871201011
2863,M.maximus,standard,open,total,123,4.820281566
2864,M.maximus,standard,open,root.shoot,1.617021277,0.962036754
2865,X.texanum,none,open,below,NA,NA
2866,X.texanum,none,open,above,NA,NA
2867,X.texanum,none,open,total,NA,NA
2868,X.texanum,none,open,root.shoot,NA,NA
2869,C.fasciculata,none,open,below,2,1.098612289
2870,C.fasciculata,none,open,above,10,2.397895273
2871,C.fasciculata,none,open,total,12,2.564949357
2872,C.fasciculata,none,open,root.shoot,0.2,0.182321557
2873,S.scheelei,none,open,below,8,2.197224577
2874,S.scheelei,none,open,above,13,2.63905733
2875,S.scheelei,none,open,total,21,3.091042453
2876,S.scheelei,none,open,root.shoot,0.615384615,0.47957308
2877,M.maximus,none,open,below,69,4.248495242
2878,M.maximus,none,open,above,193,5.267858159
2879,M.maximus,none,open,total,262,5.572154032
2880,M.maximus,none,open,root.shoot,0.357512953,0.305654315
2881,X.texanum,crude,shade,below,NA,NA
2882,X.texanum,crude,shade,above,NA,NA
2883,X.texanum,crude,shade,total,NA,NA
2884,X.texanum,crude,shade,root.shoot,NA,NA
2885,C.fasciculata,crude,shade,below,NA,NA
2886,C.fasciculata,crude,shade,above,NA,NA
2887,C.fasciculata,crude,shade,total,NA,NA
2888,C.fasciculata,crude,shade,root.shoot,NA,NA
2889,S.scheelei,crude,shade,below,NA,NA
2890,S.scheelei,crude,shade,above,NA,NA
2891,S.scheelei,crude,shade,total,NA,NA
2892,S.scheelei,crude,shade,root.shoot,NA,NA
2893,M.maximus,crude,shade,below,NA,NA
2894,M.maximus,crude,shade,above,NA,NA
2895,M.maximus,crude,shade,total,NA,NA
2896,M.maximus,crude,shade,root.shoot,NA,NA
2897,X.texanum,standard,shade,below,NA,NA
2898,X.texanum,standard,shade,above,NA,NA
2899,X.texanum,standard,shade,total,NA,NA
2900,X.texanum,standard,shade,root.shoot,NA,NA
2901,C.fasciculata,standard,shade,below,NA,NA
2902,C.fasciculata,standard,shade,above,NA,NA
2903,C.fasciculata,standard,shade,total,NA,NA
2904,C.fasciculata,standard,shade,root.shoot,NA,NA
2905,S.scheelei,standard,shade,below,0.9,0.641853886
2906,S.scheelei,standard,shade,above,2.4,1.223775432
2907,S.scheelei,standard,shade,total,3.3,1.458615023
2908,S.scheelei,standard,shade,root.shoot,0.375,0.318453731
2909,M.maximus,standard,shade,below,NA,NA
2910,M.maximus,standard,shade,above,NA,NA
2911,M.maximus,standard,shade,total,NA,NA
2912,M.maximus,standard,shade,root.shoot,NA,NA
2913,X.texanum,none,shade,below,NA,NA
2914,X.texanum,none,shade,above,NA,NA
2915,X.texanum,none,shade,total,NA,NA
2916,X.texanum,none,shade,root.shoot,NA,NA
2917,C.fasciculata,none,shade,below,0.4,0.336472237
2918,C.fasciculata,none,shade,above,6.2,1.974081026
2919,C.fasciculata,none,shade,total,6.6,2.028148247
2920,C.fasciculata,none,shade,root.shoot,0.064516129,0.062520357
2921,S.scheelei,none,shade,below,0.9,0.641853886
2922,S.scheelei,none,shade,above,2.7,1.30833282
2923,S.scheelei,none,shade,total,3.6,1.526056303
2924,S.scheelei,none,shade,root.shoot,0.333333333,0.287682072
2925,M.maximus,none,shade,below,0.8,0.587786665
2926,M.maximus,none,shade,above,1.8,1.029619417
2927,M.maximus,none,shade,total,2.6,1.280933845
2928,M.maximus,none,shade,root.shoot,0.444444444,0.36772478
2929,X.texanum,crude,open,below,NA,NA
2930,X.texanum,crude,open,above,NA,NA
2931,X.texanum,crude,open,total,NA,NA
2932,X.texanum,crude,open,root.shoot,NA,NA
2933,C.fasciculata,crude,open,below,3,1.386294361
2934,C.fasciculata,crude,open,above,22,3.135494216
2935,C.fasciculata,crude,open,total,25,3.258096538
2936,C.fasciculata,crude,open,root.shoot,0.136363636,0.127833371
2937,S.scheelei,crude,open,below,23,3.17805383
2938,S.scheelei,crude,open,above,13,2.63905733
2939,S.scheelei,crude,open,total,36,3.610917913
2940,S.scheelei,crude,open,root.shoot,1.769230769,1.018569581
2941,M.maximus,crude,open,below,21,3.091042453
2942,M.maximus,crude,open,above,24,3.218875825
2943,M.maximus,crude,open,total,45,3.828641396
2944,M.maximus,crude,open,root.shoot,0.875,0.628608659
2945,X.texanum,standard,open,below,NA,NA
2946,X.texanum,standard,open,above,NA,NA
2947,X.texanum,standard,open,total,NA,NA
2948,X.texanum,standard,open,root.shoot,NA,NA
2949,C.fasciculata,standard,open,below,52,3.970291914
2950,C.fasciculata,standard,open,above,66,4.204692619
2951,C.fasciculata,standard,open,total,118,4.779123493
2952,C.fasciculata,standard,open,root.shoot,0.787878788,0.581029883
2953,S.scheelei,standard,open,below,16,2.833213344
2954,S.scheelei,standard,open,above,12,2.564949357
2955,S.scheelei,standard,open,total,28,3.36729583
2956,S.scheelei,standard,open,root.shoot,1.333333333,0.84729786
2957,M.maximus,standard,open,below,105,4.663439094
2958,M.maximus,standard,open,above,183,5.214935758
2959,M.maximus,standard,open,total,288,5.666426688
2960,M.maximus,standard,open,root.shoot,0.573770492,0.453474327
2961,X.texanum,none,open,below,NA,NA
2962,X.texanum,none,open,above,NA,NA
2963,X.texanum,none,open,total,NA,NA
2964,X.texanum,none,open,root.shoot,NA,NA
2965,C.fasciculata,none,open,below,26,3.295836866
2966,C.fasciculata,none,open,above,55,4.025351691
