species,chemical,shade,tissue,AVG,AVGadj,logAVG,logAVGadj,SE,logSE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
X.texanum,standard,shade,below,0.811111111,0.811111111,0.257945095,0.257945095,0.175945418,0.070387164,0.1,0.8,1.1,1.2,1.9,0.6,0.4,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,shade,above,0.833333333,1.644444444,0.263241435,0.52118653,0.155456318,0.062753531,0.2,0.6,1.2,0.7,1.6,1.4,0.5,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,shade,total,1.644444444,,0.422334448,,0.308270764,0.116697636,0.3,1.4,2.3,1.9,3.5,2,0.9,1.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,shade,root.shoot,0.981150794,,0.296917533,,0.138406049,0.056297195,0.5,1.333333333,0.916666667,1.714285714,1.1875,0.428571429,0.8,0.75,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,shade,below,1.45,1.45,0.389166084,0.389166084,0.203056357,0.080285972,0.1,1.5,2.7,2.3,2.5,1.5,0.8,1.4,1.4,0.6,0.3,3.8,1.6,2.3,3.2,0.3,2.2,1.6,1.2,0.5,0.2,1.4,1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,shade,above,6.683333333,8.133333333,0.885549675,1.274715759,0.360488129,0.133694757,5.9,7.3,7,7.9,8.2,6.7,7.3,6.3,7.7,5.6,4.6,9.1,11.2,8.5,6.9,6,6.5,4.8,4.3,8.7,3.3,5.6,4.8,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,shade,total,8.133333333,,0.960629308,,0.493459639,0.17419349,6,8.8,9.7,10.2,10.7,8.2,8.1,7.7,9.1,6.2,4.9,12.9,12.8,10.8,10.1,6.3,8.7,6.4,5.5,9.2,3.5,7,5.8,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,shade,root.shoot,0.210442409,,0.082944131,,0.025981088,0.011139355,0.016949153,0.205479452,0.385714286,0.291139241,0.304878049,0.223880597,0.109589041,0.222222222,0.181818182,0.107142857,0.065217391,0.417582418,0.142857143,0.270588235,0.463768116,0.05,0.338461539,0.333333333,0.279069767,0.057471264,0.060606061,0.25,0.208333333,0.064516129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,shade,below,1.268085106,1.268085106,0.355659347,0.355659347,0.065523324,0.027562961,1.8,0.3,1.1,1.3,1.4,1.6,1.2,0.5,0.6,1.2,0.9,1.6,1.5,1.7,1.5,1.1,1.9,1.9,1.2,1.1,1.1,1.2,1.2,1.5,1.3,1.2,1.7,0.7,1.3,1.7,0.9,2,2.6,1,1.7,2,0.8,0.7,1.4,0.9,1.1,0.8,0.9,1.2,0.7,1.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,shade,above,2.229787234,3.49787234,0.509173914,0.86483326,0.113717556,0.046775066,1.6,0.9,2.8,2.3,2,2.4,1.7,1.7,2.9,2,1.8,2.4,1.2,3.8,3.2,1.3,4.5,1.1,2.4,2,2.9,3.2,2,2.5,1,4.2,1.6,1.3,1.8,2.8,2.4,1.9,2,2.2,2.1,2.1,2.1,2.6,3.2,2.7,1.9,1.3,2.2,2.9,2,2.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,shade,total,3.49787234,,0.653007125,,0.140123157,0.056951767,3.4,1.2,3.9,3.6,3.4,4,2.9,2.2,3.5,3.2,2.7,4,2.7,5.5,4.7,2.4,6.4,3,3.6,3.1,4,4.4,3.2,4,2.3,5.4,3.3,2,3.1,4.5,3.3,3.9,4.6,3.2,3.8,4.1,2.9,3.3,4.6,3.6,3,2.1,3.1,4.1,2.7,3.8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,shade,root.shoot,0.628817103,,0.211872321,,0.046939069,0.019921407,1.125,0.333333333,0.392857143,0.565217391,0.7,0.666666667,0.705882353,0.294117647,0.206896552,0.6,0.5,0.666666667,1.25,0.447368421,0.46875,0.846153846,0.422222222,1.727272727,0.5,0.55,0.379310345,0.375,0.6,0.6,1.3,0.285714286,1.0625,0.538461539,0.722222222,0.607142857,0.375,1.052631579,1.3,0.454545455,0.80952381,0.952380952,0.380952381,0.269230769,0.4375,0.333333333,0.578947368,0.615384615,0.409090909,0.413793103,0.35,0.583333333,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
