species,chemical,shade,date,week,average,SE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
M.maximus,crude,open,11/12/21,1,1.3,0.086258195,1.2,1.4,1.1,1.7,1.1,1,2.4,1.1,0.8,0.6,0.5,2.2,2.1,2.5,1.1,1.4,0.5,1.6,1.5,1,1.1,2.1,0.9,0.7,2,0.5,2.2,2,1.7,1.9,1.5,1.5,2.2,1,0.5,2,1.2,0.4,0.4,0.4,2,1.6,1.7,0.9,0.6,0.6,1.1,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,standard,open,11/12/21,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,standard,open,11/12/21,1,1.211428571,0.048434834,1.5,0.5,1.2,1.7,1.3,1.4,1.9,1,1.4,1.7,0.6,1.7,1.8,1.8,1,0.9,1,1.6,1.6,1.6,1,0.8,1.4,0.9,0.6,1,0.6,1,0.6,0.5,1,0.6,1.2,1.7,2,0.6,1.6,1.1,0.9,1.2,0.4,1.6,1.4,1.5,1.9,1.2,1.5,1,1.6,1.7,1.4,0.9,1,1.6,1.2,1.7,1.1,1,1.1,1.3,1.6,1.7,1.1,0.6,0.9,1,0.8,1,1.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,standard,open,11/12/21,1,0.6875,0.0875,0.7,0.4,0.5,0.4,0.7,0.8,1.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,open,11/12/21,1,1.975675676,0.113264778,2.1,2.1,0.5,2.5,0.8,2.2,2.1,0.7,2.4,1.1,2.6,2.5,0.9,1.1,2.1,2.5,1.6,1.1,1.5,2.2,1.6,2.5,2.2,2.7,2.3,3.5,2.2,2.7,2.2,2.5,1.2,2.4,1.7,2.3,2.6,1.3,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,open,11/12/21,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,open,11/12/21,1,1.997222222,0.134724063,2.4,1.2,3.1,1,0.7,1.7,0.9,2.2,3.3,2.1,3.3,2.1,3.3,1.7,1.1,3,1.5,0.8,2.2,1.2,1.2,1.9,2.2,3.5,2.5,2.2,2.7,1.3,1.6,3,2.4,1.5,1.2,1.6,2.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,open,11/12/21,1,2.092,0.164612677,3.1,1.1,1.2,2.6,1.4,1.9,2.1,1.3,1.8,2.5,1.9,1.2,2.2,2,3,1.4,2,2.1,3.4,2.6,1.2,3.1,4.2,2.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,none,open,11/12/21,1,6.297368421,0.167740126,9.5,6.5,6,7.2,6.5,6.4,6.9,6.2,7.1,5.3,6.2,7.1,2.9,8.1,6.4,6.2,5.5,6.5,7,7.1,6.4,8.2,8.4,6.9,5.7,3,7.6,7,3.9,,,7.9,5.6,6,6.5,7,7.1,5,5.2,6.5,4.5,5.4,8.1,6,4.3,7.1,5.4,7.5,7.7,7.6,7.6,8.2,2.5,6.6,6.7,5,1.5,5.6,4,5.7,8.2,6.5,6.3,4.9,4.2,7.5,7.1,7.7,7.1,7.5,4.6,6.1,5.9,6.6,7.7,7.1,7.5,4.6,,,,,,,,,,,,,,,,,,,,
X.texanum,crude,shade,11/19/21,2,0.65,0.05,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
